id,genre_ids,title,rating,release,ogLanguage,overview
730647,"[99, 10402]",Break the Silence: The Movie,9.2,2020-09-24,ko,"With unprecedented access, Break the Silence: The Movie travels with BTS throughout the Love Yourself: Speak Yourself world tour, exploring each band member behind the curtain. Off stage, we see another side of BTS. The seven members begin to candidly tell personal stories they have never voiced before."
620249,"[16, 14, 28]",The Legend of Hei,8.6,2021-04-20,zh,"In the bustling human world, various demons are hidden and live in peace with humans. Luo Xiaohei, the cat demon, begins his journey of wandering because his forest home is destroyed. On his search for a new home he encounters other demons as well as understanding human allies, leaving Hei in the dilemma of which side will be his true attribution."
394269,"[10402, 10770]",Lemonade,8.6,2016-04-23,en,"The second ""visual album"" (a collection of short films) by Beyoncé, this time around she takes a piercing look at racial issues and feminist concepts through a sexualized, satirical, and solemn tone."
654754,"[99, 10402]",Billie Eilish: The World's a Little Blurry,8.6,2021-02-26,en,"This documentary offers a deeply intimate look at extraordinary teenager Billie Eilish. Award-winning filmmaker R.J. Cutler follows her journey on the road, onstage, and at home with her family as the writing and recording of her debut album changes her life."
576712,[99],Everybody’s Everything,8.6,2019-03-10,en,"The story of artist Lil Peep from his birth in Long Island and meteoric rise as a genre blending pop star & style icon, to his death due to an accidental opioid overdose in Arizona at just 21 years of age."
585257,"[28, 18]",Fire,8.6,2021-07-20,ru,"A heroic story about firefighters and rescuers. What we call an act of bravery is just a usual routine for them, if only one can get used to mortal danger and extreme risk. When people in distress seem to have nobody who may help them, rescuers come to fight against merciless forces of nature."
372754,"[10749, 16]",Dou kyu sei – Classmates,8.6,2016-05-06,ja,"Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together."
129,"[16, 10751, 14]",Spirited Away,8.5,2002-09-20,ja,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family."
664280,[99],David Attenborough: A Life on Our Planet,8.5,2020-10-04,en,"The story of life on our planet by the man who has seen more of the natural world than any other. In more than 90 years, Attenborough has visited every continent on the globe, exploring the wild places of our planet and documenting the living world in all its variety and wonder. Addressing the biggest challenges facing life on our planet, the film offers a powerful message of hope for future generations."
372058,"[10749, 16, 18]",Your Name.,8.5,2017-04-07,ja,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other."
