id,genre,title,cast,director,producer,company,rating,rDate,summary
1,Animation/Fantasy/Action,The Legend of Hei,Shan Xin/Mingyue Liu/Hao Xianghai/Kana Hanazawa/Mamoru Miyano/Takahiro Sakurai/Emi Lo/Aleks Le/Howard Wang,MTJJ,Whenzhou Ma,MTJJ,8.6,2019-08-27,"In the bustling human world, various demons are hidden and live in peace with humans. Luo Xiaohei, the cat spirit, begins his journey of wandering because his forest home is destroyed. On his search for a new home he encounters other demons as well as understanding human allies, leaving Hei in the dilemma of which side will be his true attribution."
2,Music/TV Movie,Lemonade,Beyoncé/Jay-Z/Serena Williams/Zendaya/Quvenzhané Wallis/Amandla Stenberg/Chloe Bailey/Halle Bailey/Christina Webber/Tina Knowles/Richard Lawson,Dikayl Rimmasch,Jonathan Lia,Parkwood Entertainment,8.6,2016-04-23,"The second ""visual album"" (a collection of short films) by Beyoncé, this time around she takes a piercing look at racial issues and feminist concepts through a sexualized, satirical, and solemn tone."
3,Documentary/Music,Billie Eilish: The World's a Little Blurry,Billie Eilish/Finneas O'Connell/Maggie Baird/Patrick O'Connell/Justin Bieber/Orlando Bloom/Katy Perry/Claudia Sulewski/Zoe Donahoe/Brandon 'Q' Adams/Carlos López Estrada,R.J. Cutler,Trevor Smith,Interscope Films,8.6,2021-02-26,"This documentary offers a deeply intimate look at extraordinary teenager Billie Eilish. Award-winning filmmaker R.J. Cutler follows her journey on the road, onstage, and at home with her family as the writing and recording of her debut album changes her life."
4,Documentary,Everybody’s Everything,Lil Peep/Lil Tracy/Ghostemane/Killstation/Bexey/Juicy J/Post Malone/Liza Womack/John Womack Jr./Fish Narc/Rob Cavallo,Ramez Silyan,Benjamin Soley,First Access Entertainment,8.6,2019-11-12,"The story of artist Lil Peep from his birth in Long Island and meteoric rise as a genre blending pop star & style icon, to his death due to an accidental opioid overdose in Arizona at just 21 years of age."
5,Action/Drama,Fire,Konstantin Khabenskiy/Andrey Smolyakov/Irina Gorbacheva/Victor Dobronravov/Ivan Yankovsky/Roman Kurtsyn/Yuriy Kuznetsov/Tikhon Zhiznevsky/Mariya Baeva/Anton Bogdanov/Miroslava Malyshkina-Malinovskaya,Alexey Nuzhnyy,Rafael Minasbekyan,Studio Trite,8.6,2020-12-24,"A heroic story about firefighters and rescuers. What we call an act of bravery is just a usual routine for them, if only one can get used to mortal danger and extreme risk. When people in distress seem to have nobody who may help them, rescuers come to fight against merciless forces of nature."
6,Romance/Animation,Dou kyu sei – Classmates,Kenji Nojima/Hiroshi Kamiya/Hideo Ishikawa,Shouko Nakamura,Shizuka Kurosaki,A-1 Pictures,8.6,2016-02-20,"Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together."
7,Animation/Family/Fantasy,Spirited Away,Rumi Hiiragi/Miyu Irino/Mari Natsuki/Takashi Naito/沢口靖子/Tatsuya Gashûin/Ryûnosuke Kamiki/Yumi Tamai/Yo Oizumi/Koba Hayashi/Tsunehiko Kamijô,Hayao Miyazaki,Toshio Suzuki,Studio Ghibli,8.5,2001-07-20,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family."
8,Documentary,David Attenborough: A Life on Our Planet,David Attenborough/Max Hughes,Jonathan Hughes,Jonathan Hughes,Silverback Films,8.5,2020-09-28,"The story of life on our planet by the man who has seen more of the natural world than any other. In more than 90 years, Attenborough has visited every continent on the globe, exploring the wild places of our planet and documenting the living world in all its variety and wonder. Addressing the biggest challenges facing life on our planet, the film offers a powerful message of hope for future generations."
9,Romance/Animation/Drama,Your Name.,Ryûnosuke Kamiki/Mone Kamishiraishi/Ryo Narita/Aoi Yuki/Nobunaga Shimazaki/Kaito Ishikawa/Kanon Tani/Masaki Terasoma/Sayaka Ohara/Kazuhiko Inoue/Chafurin,Makoto Shinkai,Kōichirō Itō,CoMix Wave Films,8.5,2016-08-26,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other."
10,Animation/Fantasy/Action/Adventure,Green Snake,Tang Xiaoxi/Zhang Fuzheng/Wei Chao/Zhao Mingzhou/Zheng Xiaopu/Ma Cheng/Song Xuchen/Qiu Qiu/Zhang Kai/Xu Jiaqi/Guan Shuai,Amp Wong,Di Cui,Light Chaser Animation Studios,8.5,2021-07-23,"While trying to free her sister from Fahai's clutches, Xiao Qing winds up in a dystopian city and meets a mysterious man who can't recall his past life."
